K,method,run,seed,cut
3,BEA-style,0,42,79
3,Spectral,0,42,97
3,Spectral,1,43,97
3,Spectral,2,44,97
3,Spectral,3,45,97
3,Spectral,4,46,97
3,Spectral,5,47,97
3,Spectral,6,48,97
3,Spectral,7,49,97
3,Spectral,8,50,97
3,Spectral,9,51,97
3,Spectral,10,52,97
3,Spectral,11,53,97
3,Spectral,12,54,97
3,Spectral,13,55,97
3,Spectral,14,56,97
3,Louvain,0,42,97
3,Louvain,1,43,97
3,Louvain,2,44,97
3,Louvain,3,45,97
3,Louvain,4,46,97
3,Louvain,5,47,97
3,Louvain,6,48,97
3,Louvain,7,49,97
3,Louvain,8,50,97
3,Louvain,9,51,97
3,Louvain,10,52,97
3,Louvain,11,53,97
3,Louvain,12,54,97
3,Louvain,13,55,97
3,Louvain,14,56,97
3,GA+LS,0,42,79
3,GA+LS,1,43,76
3,GA+LS,2,44,59
3,GA+LS,3,45,76
3,GA+LS,4,46,79
3,GA+LS,5,47,55
3,GA+LS,6,48,55
3,GA+LS,7,49,55
3,GA+LS,8,50,79
3,GA+LS,9,51,76
3,GA+LS,10,52,79
3,GA+LS,11,53,55
3,GA+LS,12,54,79
3,GA+LS,13,55,59
3,GA+LS,14,56,55
3,SA,0,42,101
3,SA,1,43,146
3,SA,2,44,155
3,SA,3,45,97
3,SA,4,46,145
3,SA,5,47,157
3,SA,6,48,191
3,SA,7,49,288
3,SA,8,50,253
3,SA,9,51,57
3,SA,10,52,55
3,SA,11,53,69
3,SA,12,54,97
3,SA,13,55,100
3,SA,14,56,100
4,BEA-style,0,42,188
4,Spectral,0,42,216
4,Spectral,1,43,216
4,Spectral,2,44,216
4,Spectral,3,45,216
4,Spectral,4,46,216
4,Spectral,5,47,216
4,Spectral,6,48,216
4,Spectral,7,49,216
4,Spectral,8,50,216
4,Spectral,9,51,216
4,Spectral,10,52,216
4,Spectral,11,53,216
4,Spectral,12,54,216
4,Spectral,13,55,216
4,Spectral,14,56,216
4,Louvain,0,42,215
4,Louvain,1,43,215
4,Louvain,2,44,215
4,Louvain,3,45,215
4,Louvain,4,46,215
4,Louvain,5,47,215
4,Louvain,6,48,215
4,Louvain,7,49,215
4,Louvain,8,50,215
4,Louvain,9,51,215
4,Louvain,10,52,215
4,Louvain,11,53,215
4,Louvain,12,54,215
4,Louvain,13,55,215
4,Louvain,14,56,215
4,GA+LS,0,42,158
4,GA+LS,1,43,152
4,GA+LS,2,44,160
4,GA+LS,3,45,154
4,GA+LS,4,46,160
4,GA+LS,5,47,160
4,GA+LS,6,48,159
4,GA+LS,7,49,159
4,GA+LS,8,50,154
4,GA+LS,9,51,159
4,GA+LS,10,52,159
4,GA+LS,11,53,160
4,GA+LS,12,54,152
4,GA+LS,13,55,154
4,GA+LS,14,56,154
4,SA,0,42,401
4,SA,1,43,249
4,SA,2,44,206
4,SA,3,45,196
4,SA,4,46,210
4,SA,5,47,152
4,SA,6,48,263
4,SA,7,49,365
4,SA,8,50,206
4,SA,9,51,246
4,SA,10,52,230
4,SA,11,53,298
4,SA,12,54,143
4,SA,13,55,235
4,SA,14,56,168
5,BEA-style,0,42,268
5,Spectral,0,42,334
5,Spectral,1,43,334
5,Spectral,2,44,334
5,Spectral,3,45,334
5,Spectral,4,46,334
5,Spectral,5,47,334
5,Spectral,6,48,334
5,Spectral,7,49,334
5,Spectral,8,50,334
5,Spectral,9,51,334
5,Spectral,10,52,334
5,Spectral,11,53,334
5,Spectral,12,54,334
5,Spectral,13,55,334
5,Spectral,14,56,334
5,Louvain,0,42,570
5,Louvain,1,43,570
5,Louvain,2,44,570
5,Louvain,3,45,570
5,Louvain,4,46,570
5,Louvain,5,47,570
5,Louvain,6,48,570
5,Louvain,7,49,570
5,Louvain,8,50,570
5,Louvain,9,51,570
5,Louvain,10,52,570
5,Louvain,11,53,570
5,Louvain,12,54,570
5,Louvain,13,55,570
5,Louvain,14,56,570
5,GA+LS,0,42,201
5,GA+LS,1,43,203
5,GA+LS,2,44,210
5,GA+LS,3,45,210
5,GA+LS,4,46,210
5,GA+LS,5,47,210
5,GA+LS,6,48,210
5,GA+LS,7,49,201
5,GA+LS,8,50,203
5,GA+LS,9,51,203
5,GA+LS,10,52,202
5,GA+LS,11,53,210
5,GA+LS,12,54,201
5,GA+LS,13,55,210
5,GA+LS,14,56,210
5,SA,0,42,205
5,SA,1,43,258
5,SA,2,44,355
5,SA,3,45,288
5,SA,4,46,239
5,SA,5,47,237
5,SA,6,48,233
5,SA,7,49,203
5,SA,8,50,226
5,SA,9,51,410
5,SA,10,52,205
5,SA,11,53,201
5,SA,12,54,248
5,SA,13,55,228
5,SA,14,56,226
6,BEA-style,0,42,356
6,Spectral,0,42,403
6,Spectral,1,43,403
6,Spectral,2,44,403
6,Spectral,3,45,403
6,Spectral,4,46,403
6,Spectral,5,47,403
6,Spectral,6,48,403
6,Spectral,7,49,403
6,Spectral,8,50,403
6,Spectral,9,51,403
6,Spectral,10,52,403
6,Spectral,11,53,403
6,Spectral,12,54,403
6,Spectral,13,55,403
6,Spectral,14,56,403
6,Louvain,0,42,721
6,Louvain,1,43,721
6,Louvain,2,44,721
6,Louvain,3,45,721
6,Louvain,4,46,721
6,Louvain,5,47,721
6,Louvain,6,48,721
6,Louvain,7,49,721
6,Louvain,8,50,721
6,Louvain,9,51,721
6,Louvain,10,52,721
6,Louvain,11,53,721
6,Louvain,12,54,721
6,Louvain,13,55,721
6,Louvain,14,56,721
6,GA+LS,0,42,286
6,GA+LS,1,43,278
6,GA+LS,2,44,286
6,GA+LS,3,45,286
6,GA+LS,4,46,278
6,GA+LS,5,47,286
6,GA+LS,6,48,265
6,GA+LS,7,49,279
6,GA+LS,8,50,277
6,GA+LS,9,51,279
6,GA+LS,10,52,278
6,GA+LS,11,53,281
6,GA+LS,12,54,250
6,GA+LS,13,55,286
6,GA+LS,14,56,277
6,SA,0,42,383
6,SA,1,43,542
6,SA,2,44,303
6,SA,3,45,362
6,SA,4,46,382
6,SA,5,47,387
6,SA,6,48,348
6,SA,7,49,336
6,SA,8,50,344
6,SA,9,51,499
6,SA,10,52,432
6,SA,11,53,394
6,SA,12,54,520
6,SA,13,55,296
6,SA,14,56,275
